year,years,foreigners male arrivals,foreigners male departures,foreigners male balance,foreigners female arrivals,foreigners female departures,foreigners female balance,foreigners total arrivals,foreigners total departures,foreigners total balance,total male arrivals,total male departures,total male balance,total female arrivals,total female departures,total female balance,total arrivals,total departures,total balance
2000,under 1 year,1907,1427,480,1640,1195,445,3547,2622,925,7098,5564,1534,5946,4540,1406,13044,10104,2940
2000,1 year,3664,3401,263,3304,3149,155,6968,6550,418,12737,11919,818,12098,11283,815,24835,23202,1633
2000,2 years,3372,3456,-84,3201,3282,-81,6573,6738,-165,11602,11046,556,11107,10530,577,22709,21576,1133
2000,3 years,3377,3724,-347,3166,3480,-314,6543,7204,-661,11227,11055,172,10659,10445,214,21886,21500,386
2000,4 years,3063,3484,-421,3030,3312,-282,6093,6796,-703,9725,9649,76,9497,9295,202,19222,18944,278
2000,5 years,2965,3226,-261,2891,3192,-301,5856,6418,-562,9012,8675,337,8766,8557,209,17778,17232,546
2000,6 years,2926,3472,-546,2829,3168,-339,5755,6640,-885,8959,9030,-71,8602,8400,202,17561,17430,131
2000,7 years,2820,3239,-419,2695,3108,-413,5515,6347,-832,8326,8250,76,7940,7951,-11,16266,16201,65
2000,8 years,2810,2989,-179,2582,2751,-169,5392,5740,-348,8256,7761,495,7742,7178,564,15998,14939,1059
2000,9 years,2594,2751,-157,2534,2497,37,5128,5248,-120,7892,7334,558,7588,6898,690,15480,14232,1248
2000,10 years,2613,2698,-85,2359,2354,5,4972,5052,-80,8618,7875,743,8057,7281,776,16675,15156,1519
2000,11 years,2587,2430,157,2346,2235,111,4933,4665,268,8353,7421,932,7973,7011,962,16326,14432,1894
2000,12 years,2583,2354,229,2283,2181,102,4866,4535,331,8450,7262,1188,7871,6901,970,16321,14163,2158
2000,13 years,2437,2161,276,2224,1974,250,4661,4135,526,8336,7035,1301,7782,6487,1295,16118,13522,2596
2000,14 years,2476,2084,392,2104,1867,237,4580,3951,629,7915,6506,1409,7300,6030,1270,15215,12536,2679
2000,15 years,2796,2053,743,2465,1861,604,5261,3914,1347,8062,6342,1720,7485,5872,1613,15547,12214,3333
2000,16 years,4021,2463,1558,3060,2124,936,7081,4587,2494,9801,7269,2532,8946,7030,1916,18747,14299,4448
2000,17 years,5105,3343,1762,3864,2466,1398,8969,5809,3160,11690,9050,2640,10828,8476,2352,22518,17526,4992
2000,18 years,5839,4724,1115,6475,3547,2928,12314,8271,4043,14059,11620,2439,17319,13178,4141,31378,24798,6580
2000,19 years,8657,6567,2090,11484,5544,5940,20141,12111,8030,18650,15204,3446,28013,20866,7147,46663,36070,10593
2000,20 years,12582,8883,3699,15350,8098,7252,27932,16981,10951,27883,22761,5122,37602,29298,8304,65485,52059,13426
2000,21 years,14596,11500,3096,16837,10476,6361,31433,21976,9457,33120,28763,4357,38940,31686,7254,72060,60449,11611
2000,22 years,17383,13261,4122,17741,11054,6687,35124,24315,10809,35244,29967,5277,38837,31366,7471,74081,61333,12748
2000,23 years,18778,14354,4424,17081,11043,6038,35859,25397,10462,37016,31689,5327,37282,30559,6723,74298,62248,12050
2000,24 years,19465,15490,3975,15863,10627,5236,35328,26117,9211,37053,32042,5011,34226,28330,5896,71279,60372,10907
2000,25 years,19605,16363,3242,14129,9969,4160,33734,26332,7402,36092,31928,4164,31129,26573,4556,67221,58501,8720
2000,26 years,18620,16210,2410,12316,9207,3109,30936,25417,5519,35321,32287,3034,28747,25365,3382,64068,57652,6416
2000,27 years,17209,15627,1582,11319,8456,2863,28528,24083,4445,34266,32099,2167,27431,24268,3163,61697,56367,5330
2000,28 years,17124,15820,1304,10599,8219,2380,27723,24039,3684,34556,32840,1716,26858,24360,2498,61414,57200,4214
2000,29 years,16051,15078,973,9771,7764,2007,25822,22842,2980,34701,33417,1284,26037,24020,2017,60738,57437,3301
2000,30 years,15883,15582,301,8923,7131,1792,24806,22713,2093,33772,33276,496,24308,22516,1792,58080,55792,2288
2000,31 years,14643,14540,103,7985,6842,1143,22628,21382,1246,32842,32588,254,22735,21560,1175,55577,54148,1429
2000,32 years,13813,14109,-296,7356,6353,1003,21169,20462,707,31766,31995,-229,21744,20736,1008,53510,52731,779
2000,33 years,12505,12990,-485,6570,5829,741,19075,18819,256,29673,30033,-360,20218,19297,921,49891,49330,561
2000,34 years,11772,12363,-591,5847,5196,651,17619,17559,60,28082,28387,-305,18501,17630,871,46583,46017,566
2000,35 years,11429,12020,-591,5565,5004,561,16994,17024,-30,26304,26568,-264,17096,16340,756,43400,42908,492
2000,36 years,10794,11490,-696,5115,4511,604,15909,16001,-92,24839,25045,-206,15715,14793,922,40554,39838,716
2000,37 years,10199,10964,-765,4578,4158,420,14777,15122,-345,23317,23544,-227,14565,13681,884,37882,37225,657
2000,38 years,9783,10461,-678,4336,3930,406,14119,14391,-272,21812,21853,-41,13440,12523,917,35252,34376,876
2000,39 years,8979,9556,-577,3872,3402,470,12851,12958,-107,19994,19881,113,12215,11246,969,32209,31127,1082
