year,years,foreigners male arrivals,foreigners male departures,foreigners male balance,foreigners female arrivals,foreigners female departures,foreigners female balance,foreigners total arrivals,foreigners total departures,foreigners total balance,total male arrivals,total male departures,total male balance,total female arrivals,total female departures,total female balance,total arrivals,total departures,total balance
2000,under 1 year,1537,1057,480,1343,898,445,2880,1955,925,2908,1374,1534,2568,1162,1406,5476,2536,2940
2000,1 year,2814,2551,263,2521,2366,155,5335,4917,418,4479,3661,818,4152,3337,815,8631,6998,1633
2000,2 years,2612,2696,-84,2477,2558,-81,5089,5254,-165,4017,3461,556,3853,3276,577,7870,6737,1133
2000,3 years,2557,2904,-347,2387,2701,-314,4944,5605,-661,3866,3694,172,3687,3473,214,7553,7167,386
2000,4 years,2352,2773,-421,2380,2662,-282,4732,5435,-703,3616,3540,76,3585,3383,202,7201,6923,278
2000,5 years,2350,2611,-261,2242,2543,-301,4592,5154,-562,3613,3276,337,3489,3280,209,7102,6556,546
2000,6 years,2303,2849,-546,2261,2600,-339,4564,5449,-885,3619,3690,-71,3549,3347,202,7168,7037,131
2000,7 years,2186,2605,-419,2110,2523,-413,4296,5128,-832,3448,3372,76,3318,3329,-11,6766,6701,65
2000,8 years,2202,2381,-179,2054,2223,-169,4256,4604,-348,3502,3007,495,3351,2787,564,6853,5794,1059
2000,9 years,2022,2179,-157,2019,1982,37,4041,4161,-120,3363,2805,558,3226,2536,690,6589,5341,1248
2000,10 years,2098,2183,-85,1915,1910,5,4013,4093,-80,3506,2763,743,3240,2464,776,6746,5227,1519
2000,11 years,2073,1916,157,1889,1778,111,3962,3694,268,3422,2490,932,3242,2280,962,6664,4770,1894
2000,12 years,2100,1871,229,1847,1745,102,3947,3616,331,3578,2390,1188,3151,2181,970,6729,4571,2158
2000,13 years,1988,1712,276,1833,1583,250,3821,3295,526,3524,2223,1301,3304,2009,1295,6828,4232,2596
2000,14 years,2020,1628,392,1711,1474,237,3731,3102,629,3468,2059,1409,3101,1831,1270,6569,3890,2679
2000,15 years,2362,1619,743,2081,1477,604,4443,3096,1347,3814,2094,1720,3479,1866,1613,7293,3960,3333
2000,16 years,3578,2020,1558,2632,1696,936,6210,3716,2494,5008,2476,2532,4125,2209,1916,9133,4685,4448
2000,17 years,4636,2874,1762,3316,1918,1398,7952,4792,3160,6170,3530,2640,4719,2367,2352,10889,5897,4992
2000,18 years,5231,4116,1115,5636,2708,2928,10867,6824,4043,7209,4770,2439,7308,3167,4141,14517,7937,6580
2000,19 years,7593,5503,2090,10138,4198,5940,17731,9701,8030,9732,6286,3446,11967,4820,7147,21699,11106,10593
2000,20 years,10869,7170,3699,13517,6265,7252,24386,13435,10951,13202,8080,5122,15388,7084,8304,28590,15164,13426
2000,21 years,12636,9540,3096,14775,8414,6361,27411,17954,9457,14927,10570,4357,16576,9322,7254,31503,19892,11611
2000,22 years,15078,10956,4122,15561,8874,6687,30639,19830,10809,17295,12018,5277,17348,9877,7471,34643,21895,12748
2000,23 years,16437,12013,4424,14902,8864,6038,31339,20877,10462,18561,13234,5327,16714,9991,6723,35275,23225,12050
2000,24 years,16798,12823,3975,13485,8249,5236,30283,21072,9211,19072,14061,5011,15251,9355,5896,34323,23416,10907
2000,25 years,16662,13420,3242,11779,7619,4160,28441,21039,7402,18796,14632,4164,13380,8824,4556,32176,23456,8720
2000,26 years,15517,13107,2410,10022,6913,3109,25539,20020,5519,17438,14404,3034,11581,8199,3382,29019,22603,6416
2000,27 years,14261,12679,1582,9013,6150,2863,23274,18829,4445,16192,14025,2167,10521,7358,3163,26713,21383,5330
2000,28 years,13978,12674,1304,8328,5948,2380,22306,18622,3684,15897,14181,1716,9771,7273,2498,25668,21454,4214
2000,29 years,12990,12017,973,7554,5547,2007,20544,17564,2980,14975,13691,1284,9003,6986,2017,23978,20677,3301
2000,30 years,12873,12572,301,6925,5133,1792,19798,17705,2093,14812,14316,496,8348,6556,1792,23160,20872,2288
2000,31 years,11741,11638,103,6058,4915,1143,17799,16553,1246,13703,13449,254,7500,6325,1175,21203,19774,1429
2000,32 years,11103,11399,-296,5689,4686,1003,16792,16085,707,13096,13325,-229,7161,6153,1008,20257,19478,779
2000,33 years,10082,10567,-485,5061,4320,741,15143,14887,256,12154,12514,-360,6590,5669,921,18744,18183,561
2000,34 years,9461,10052,-591,4515,3864,651,13976,13916,60,11610,11915,-305,6039,5168,871,17649,17083,566
2000,35 years,9217,9808,-591,4328,3767,561,13545,13575,-30,11331,11595,-264,5823,5067,756,17154,16662,492
2000,36 years,8722,9418,-696,3994,3390,604,12716,12808,-92,10853,11059,-206,5516,4594,922,16369,15653,716
2000,37 years,8152,8917,-765,3586,3166,420,11738,12083,-345,10333,10560,-227,5177,4293,884,15510,14853,657
2000,38 years,7935,8613,-678,3390,2984,406,11325,11597,-272,10080,10121,-41,4922,4005,917,15002,14126,876
