year,origin,destination,foreigners male arrivals,foreigners female arrivals,total foreigners,total male,total female,total
2000,Schleswig-Holstein,Schleswig-Holstein,0,0,0,0,0,0
2000,Schleswig-Holstein,Hamburg,1118,866,1984,9417,8968,18385
2000,Schleswig-Holstein,Niedersachsen,283,216,499,4132,4218,8350
2000,Schleswig-Holstein,Bremen,52,37,89,405,358,763
2000,Schleswig-Holstein,Nordrhein-Westfalen,316,206,522,2679,2470,5149
2000,Schleswig-Holstein,Hessen,87,84,171,880,987,1867
2000,Schleswig-Holstein,Rheinland-Pfalz,84,48,132,553,503,1056
2000,Schleswig-Holstein,Baden-Wurttemberg,210,172,382,1615,1596,3211
2000,Schleswig-Holstein,Bayern,170,111,281,1493,1351,2844
2000,Schleswig-Holstein,Saarland,3,5,8,69,72,141
2000,Schleswig-Holstein,Berlin,121,83,204,1342,1117,2459
2000,Schleswig-Holstein,Brandenburg,24,9,33,463,371,834
2000,Schleswig-Holstein,Mecklenburg-Vorpommern,62,42,104,2091,1849,3940
2000,Schleswig-Holstein,Sachsen,20,14,34,347,306,653
2000,Schleswig-Holstein,Sachsen-Anhalt,21,8,29,292,233,525
2000,Schleswig-Holstein,Thuringen,12,4,16,169,116,285
2000,Schleswig-Holstein,Insgesamt,2583,1905,4488,25947,24515,50462
2000,Hamburg,Schleswig-Holstein,950,763,1713,11120,11509,22629
2000,Hamburg,Hamburg,0,0,0,0,0,0
2000,Hamburg,Niedersachsen,573,456,1029,6146,6124,12270
2000,Hamburg,Bremen,72,51,123,348,355,703
2000,Hamburg,Nordrhein-Westfalen,377,269,646,1912,1849,3761
2000,Hamburg,Hessen,171,139,310,873,812,1685
2000,Hamburg,Rheinland-Pfalz,35,27,62,263,254,517
2000,Hamburg,Baden-Wurttemberg,193,144,337,1061,986,2047
2000,Hamburg,Bayern,208,154,362,1328,1207,2535
2000,Hamburg,Saarland,2,7,9,38,48,86
2000,Hamburg,Berlin,207,141,348,1430,1198,2628
2000,Hamburg,Brandenburg,21,12,33,238,183,421
2000,Hamburg,Mecklenburg-Vorpommern,47,34,81,807,738,1545
2000,Hamburg,Sachsen,31,15,46,238,208,446
2000,Hamburg,Sachsen-Anhalt,24,7,31,179,161,340
2000,Hamburg,Thuringen,6,2,8,92,78,170
2000,Hamburg,Insgesamt,2917,2221,5138,26073,25710,51783
2000,Niedersachsen,Schleswig-Holstein,597,557,1154,5351,5399,10750
2000,Niedersachsen,Hamburg,764,600,1364,6860,6643,13503
2000,Niedersachsen,Niedersachsen,0,0,0,0,0,0
2000,Niedersachsen,Bremen,632,542,1174,6222,6007,12229
2000,Niedersachsen,Nordrhein-Westfalen,2552,2071,4623,24256,24700,48956
2000,Niedersachsen,Hessen,1194,932,2126,7361,7189,14550
2000,Niedersachsen,Rheinland-Pfalz,469,451,920,3103,3210,6313
2000,Niedersachsen,Baden-Wurttemberg,1330,1276,2606,7690,7623,15313
2000,Niedersachsen,Bayern,1458,1341,2799,9728,9762,19490
2000,Niedersachsen,Saarland,120,101,221,646,624,1270
2000,Niedersachsen,Berlin,656,597,1253,4136,3959,8095
2000,Niedersachsen,Brandenburg,211,217,428,2535,2507,5042
2000,Niedersachsen,Mecklenburg-Vorpommern,83,75,158,2331,2192,4523
2000,Niedersachsen,Sachsen,442,380,822,3854,3792,7646
2000,Niedersachsen,Sachsen-Anhalt,360,300,660,4289,4281,8570
2000,Niedersachsen,Thuringen,253,262,515,2463,2466,4929
2000,Niedersachsen,Insgesamt,11121,9702,20823,90825,90354,181179
2000,Bremen,Schleswig-Holstein,46,32,78,323,311,634
2000,Bremen,Hamburg,128,81,209,587,518,1105
2000,Bremen,Niedersachsen,646,559,1205,7206,7517,14723
2000,Bremen,Bremen,0,0,0,0,0,0
2000,Bremen,Nordrhein-Westfalen,238,166,404,924,839,1763
2000,Bremen,Hessen,71,60,131,345,331,676
2000,Bremen,Rheinland-Pfalz,21,17,38,113,116,229
2000,Bremen,Baden-Wurttemberg,98,71,169,436,395,831
2000,Bremen,Bayern,95,61,156,412,387,799
2000,Bremen,Saarland,9,8,17,24,20,44
2000,Bremen,Berlin,73,46,119,405,388,793
2000,Bremen,Brandenburg,5,3,8,74,59,133
2000,Bremen,Mecklenburg-Vorpommern,15,11,26,143,120,263
2000,Bremen,Sachsen,13,8,21,84,80,164
2000,Bremen,Sachsen-Anhalt,9,2,11,76,58,134
2000,Bremen,Thuringen,3,8,11,39,49,88
2000,Bremen,Insgesamt,1470,1133,2603,11191,11188,22379
2000,Nordrhein-Westfalen,Schleswig-Holstein,314,168,482,2981,3028,6009
2000,Nordrhein-Westfalen,Hamburg,597,353,950,3086,2703,5789
2000,Nordrhein-Westfalen,Niedersachsen,1671,1302,2973,14855,15097,29952
2000,Nordrhein-Westfalen,Bremen,192,120,312,920,852,1772
2000,Nordrhein-Westfalen,Nordrhein-Westfalen,0,0,0,0,0,0
2000,Nordrhein-Westfalen,Hessen,1849,1219,3068,9001,8452,17453
2000,Nordrhein-Westfalen,Rheinland-Pfalz,1062,724,1786,8569,8623,17192
2000,Nordrhein-Westfalen,Baden-Wurttemberg,1799,1307,3106,9623,8799,18422
2000,Nordrhein-Westfalen,Bayern,1723,1235,2958,9912,9167,19079
2000,Nordrhein-Westfalen,Saarland,136,128,264,665,675,1340
2000,Nordrhein-Westfalen,Berlin,875,781,1656,5980,5359,11339
2000,Nordrhein-Westfalen,Brandenburg,91,83,174,1726,1614,3340
2000,Nordrhein-Westfalen,Mecklenburg-Vorpommern,57,27,84,1000,911,1911
2000,Nordrhein-Westfalen,Sachsen,243,104,347,2097,1749,3846
2000,Nordrhein-Westfalen,Sachsen-Anhalt,123,74,197,1351,1147,2498
2000,Nordrhein-Westfalen,Thuringen,139,53,192,1138,1014,2152
2000,Nordrhein-Westfalen,Insgesamt,10871,7678,18549,72904,69190,142094
